,method,observation_sequence,n_states,time,log_prob
20257,ga_and_bw,1,12,0.7718551999423653,1.232595164407831e-31
20258,random_only,1,12,0.00047279999125748873,-6.656112117058699
20259,ga_only,1,12,0.8676450999919325,-3.1156764329846753
20260,bw_only,1,12,0.0018014999805018306,-1.3866232311197448
20261,ga_and_bw,1,12,0.9161948000546545,2.2204460492503165e-16
20262,random_only,1,12,0.0004417999880388379,-7.0600719860511045
20263,ga_only,1,12,0.7764697999227792,-3.3105718595123825
20264,bw_only,1,12,0.001477799960412085,-1.910791049210679
20265,ga_and_bw,1,12,0.9488086000783369,-1.3862960584166977
20266,random_only,1,12,0.000736700021661818,-8.075202710505897
20267,ga_only,1,12,0.8876813999377191,-4.233129477276113
20268,bw_only,1,12,0.001698700012639165,-1.3879267241826028
20269,ga_and_bw,1,12,0.8865335999289528,-1.386474501501237
20270,random_only,1,12,0.000484099960885942,-8.174691715809516
20271,ga_only,1,12,0.7715780000435188,-3.6161076527614795
20272,bw_only,1,12,0.0013283999869599938,-1.5543122344752184e-15
20273,ga_and_bw,1,12,0.7730340999551117,-1.3862835855941895
20274,random_only,1,12,0.00044440000783652067,-8.852821867314663
20275,ga_only,1,12,0.7795189999742433,-3.406446480578666
20276,bw_only,1,12,0.0013429000973701477,-0.0004336739571961188
20277,ga_and_bw,1,12,0.7788423999445513,-1.3862519526004886
20278,random_only,1,12,0.0004752000095322728,-7.519851786527008
20279,ga_only,1,12,0.7730798999546096,-3.360553075203855
20280,bw_only,1,12,0.001425699912942946,-1.3862943629224638
20281,ga_and_bw,1,12,0.7733059000456706,-1.3862962362445994
20282,random_only,1,12,0.00045139994472265244,-6.522539578616741
20283,ga_only,1,12,0.9277061000466347,-3.302384019092799
20284,bw_only,1,12,0.0014984000008553267,-1.3863115030770048
20285,ga_and_bw,1,12,0.8837852000724524,-1.3862944177764742
20286,random_only,1,12,0.0010221999837085605,-9.376399285487661
20287,ga_only,1,12,0.8778620000230148,-3.1667399001050214
20288,bw_only,1,12,0.001725899986922741,-1.386233422102444
20289,ga_and_bw,1,12,0.8981996000511572,2.220446049250314e-16
